Profile Summary
Generated on: 2026-03-26 13:05:30
Msec since Epoch: 1774544730423
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,7.58481,0.010956,0.329774,3.67818,
clCreateCommandQueue,1,0.025076,0.025076,0.025076,0.025076,
clCreateContext,1,117.116,117.116,117.116,117.116,
clCreateKernel,1,469.094,469.094,469.094,469.094,
clCreateProgramWithBinary,1,886.533,886.533,886.533,886.533,
clEnqueueMigrateMemObjects,25,0.205932,0.007457,0.00823728,0.01037,
clEnqueueTask,25,73.9485,0.085193,2.95794,71.6812,
clFinish,25,47228.7,1888.29,1889.15,1907.23,
clGetDeviceIDs,2,0.00546,0.001388,0.00273,0.004072,
clGetDeviceInfo,2,8.25184,0.002232,4.12592,8.24961,
clGetExtensionFunctionAddress,2,0.018088,0.0041,0.009044,0.013988,
clGetExtensionFunctionAddressForPlatform,2,0.005878,0.001758,0.002939,0.00412,
clGetPlatformInfo,6,0.006418,0.000816,0.00106967,0.0016,
clReleaseCommandQueue,1,0.009598,0.009598,0.009598,0.009598,
clReleaseContext,1,45.0332,45.0332,45.0332,45.0332,
clReleaseDevice,5,0.010066,0.000835,0.0020132,0.003169,
clReleaseKernel,1,13.7606,13.7606,13.7606,13.7606,
clReleaseMemObject,73,0.158235,0.000864,0.0021676,0.006236,
clReleaseProgram,1,0.003961,0.003961,0.003961,0.003961,
clRetainDevice,5,0.008393,0.000714,0.0016786,0.00428,
clRetainMemObject,50,0.148116,0.00176,0.00296232,0.007243,
clSetKernelArg,25,0.084777,0.001847,0.00339108,0.0267,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,47205.1,1888.1,1888.21,1888.32,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94749126116224,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,33406.9,1888.32,1:1:1,1:1:1,
94749126116224,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,50404,1888.24,1:1:1,1:1:1,
94749126116224,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,78732,1888.23,1:1:1,1:1:1,
94749126116224,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,59846.7,1888.23,1:1:1,1:1:1,
94749126116224,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,56069.6,1888.23,1:1:1,1:1:1,
94749126116224,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,74954.9,1888.23,1:1:1,1:1:1,
94749126116224,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,67400.7,1888.22,1:1:1,1:1:1,
94749126116224,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,57958.2,1888.22,1:1:1,1:1:1,
94749126116224,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,69289.3,1888.22,1:1:1,1:1:1,
94749126116224,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,65512.2,1888.21,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,33388.2,18.7459,179098,9553.99,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
450560,0,0,39072.5,0.098844,20,202.339,
450560,0,0,57958,0.089247,20,224.097,
450560,0,0,35295.4,0.088954,20,224.835,
450560,0,0,52292.3,0.088776,20,225.286,
450560,0,0,56069.4,0.087697,20,228.058,
450560,0,0,71177.6,0.087307,20,229.077,
450560,0,0,76843.2,0.087287,20,229.129,
450560,0,0,40961,0.08728,20,229.148,
450560,0,0,80620.4,0.08726,20,229.2,
450560,0,0,61735.1,0.087007,20,229.867,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,81030.8,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94749126037808,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,20000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,17687592,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,3930576,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,62820672,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,94231008,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GIN_node_mlp_2_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.14233,
BUFFER_WR_ACTIVE_TIME_MS,all,18.7459,
BUFFER_TX_ACTIVE_TIME_MS,all,47232.3,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
