Profile Summary
Generated on: 2026-03-25 14:38:18
Msec since Epoch: 1774463898929
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,0.949611,0.011867,0.0412874,0.148893,
clCreateCommandQueue,1,0.011656,0.011656,0.011656,0.011656,
clCreateContext,1,89.7923,89.7923,89.7923,89.7923,
clCreateKernel,1,470.453,470.453,470.453,470.453,
clCreateProgramWithBinary,1,880.472,880.472,880.472,880.472,
clEnqueueMigrateMemObjects,25,0.220505,0.007977,0.0088202,0.01108,
clEnqueueTask,25,129.542,0.09017,5.18166,127.344,
clFinish,25,3424.42,136.879,136.977,138.313,
clGetDeviceIDs,2,0.004536,0.001205,0.002268,0.003331,
clGetDeviceInfo,2,10.1889,0.002671,5.09445,10.1862,
clGetExtensionFunctionAddress,2,0.028793,0.003807,0.0143965,0.024986,
clGetExtensionFunctionAddressForPlatform,2,0.011505,0.001636,0.0057525,0.009869,
clGetPlatformInfo,6,0.005871,0.000725,0.0009785,0.001364,
clReleaseCommandQueue,1,0.006447,0.006447,0.006447,0.006447,
clReleaseContext,1,39.3567,39.3567,39.3567,39.3567,
clReleaseDevice,5,0.009873,0.000844,0.0019746,0.003637,
clReleaseKernel,1,5.59817,5.59817,5.59817,5.59817,
clReleaseMemObject,73,0.163137,0.001112,0.00223475,0.00635,
clReleaseProgram,1,0.004122,0.004122,0.004122,0.004122,
clRetainDevice,5,0.00973,0.000827,0.001946,0.005732,
clRetainMemObject,50,0.136719,0.001726,0.00273438,0.006103,
clSetKernelArg,25,0.084449,0.001723,0.00337796,0.027393,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,3418.36,136.696,136.735,136.836,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94802704008064,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,11709.5,136.836,1:1:1,1:1:1,
94802704008064,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14999.2,136.767,1:1:1,1:1:1,
94802704008064,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13491.4,136.765,1:1:1,1:1:1,
94802704008064,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13765.5,136.761,1:1:1,1:1:1,
94802704008064,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14588,136.756,1:1:1,1:1:1,
94802704008064,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13217.3,136.75,1:1:1,1:1:1,
94802704008064,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13902.6,136.748,1:1:1,1:1:1,
94802704008064,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14039.7,136.744,1:1:1,1:1:1,
94802704008064,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14450.9,136.742,1:1:1,1:1:1,
94802704008064,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,12806.1,136.74,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,11708.2,1.33517,9491.27,7108.65,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
389120,0,0,12120.6,0.091986,8.226,89.4267,
389120,0,0,11846.5,0.091356,8.226,90.0433,
389120,0,0,12668.8,0.08739,8.226,94.1298,
389120,0,0,14724.8,0.08638,8.226,95.2304,
389120,0,0,15136,0.08638,8.226,95.2304,
389120,0,0,14176.6,0.085787,8.226,95.8887,
389120,0,0,12257.7,0.084313,8.226,97.565,
389120,0,0,11983.6,0.083393,8.226,98.6414,
389120,0,0,12805.8,0.08263,8.226,99.5522,
389120,0,0,13902.4,0.082407,8.226,99.8216,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,15253.7,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94802703929648,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,8226,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,3741372,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,831416,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,1829232,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,2743848,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GIN_node_mlp_2_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.0765,
BUFFER_WR_ACTIVE_TIME_MS,all,1.33517,
BUFFER_TX_ACTIVE_TIME_MS,all,3427.96,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
