Profile Summary
Generated on: 2026-03-26 12:34:20
Msec since Epoch: 1774542860299
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,4.60973,0.010674,0.200423,1.69334,
clCreateCommandQueue,1,0.011624,0.011624,0.011624,0.011624,
clCreateContext,1,110.786,110.786,110.786,110.786,
clCreateKernel,1,484.567,484.567,484.567,484.567,
clCreateProgramWithBinary,1,906.442,906.442,906.442,906.442,
clEnqueueMigrateMemObjects,25,0.234944,0.008397,0.00939776,0.012344,
clEnqueueTask,25,150.229,0.086226,6.00916,147.995,
clFinish,25,37610.1,1503.87,1504.41,1515.23,
clGetDeviceIDs,2,0.004734,0.001418,0.002367,0.003316,
clGetDeviceInfo,2,7.92383,0.00196,3.96192,7.92187,
clGetExtensionFunctionAddress,2,0.026008,0.003922,0.013004,0.022086,
clGetExtensionFunctionAddressForPlatform,2,0.006756,0.001698,0.003378,0.005058,
clGetPlatformInfo,6,0.005936,0.000702,0.000989333,0.001482,
clReleaseCommandQueue,1,0.007247,0.007247,0.007247,0.007247,
clReleaseContext,1,50.3968,50.3968,50.3968,50.3968,
clReleaseDevice,5,0.009585,0.000801,0.001917,0.003835,
clReleaseKernel,1,10.3613,10.3613,10.3613,10.3613,
clReleaseMemObject,73,0.153643,0.000858,0.0021047,0.004931,
clReleaseProgram,1,0.003854,0.003854,0.003854,0.003854,
clRetainDevice,5,0.024801,0.000605,0.0049602,0.017101,
clRetainMemObject,50,0.144808,0.00182,0.00289616,0.006576,
clSetKernelArg,25,0.083279,0.001686,0.00333116,0.028147,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,37594.1,1503.68,1503.76,1503.93,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94914851906432,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,109158,1503.93,1:1:1,1:1:1,
94914851906432,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,121191,1503.8,1:1:1,1:1:1,
94914851906432,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,130216,1503.8,1:1:1,1:1:1,
94914851906432,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,113670,1503.79,1:1:1,1:1:1,
94914851906432,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,115175,1503.79,1:1:1,1:1:1,
94914851906432,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,116679,1503.79,1:1:1,1:1:1,
94914851906432,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,118183,1503.79,1:1:1,1:1:1,
94914851906432,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,119687,1503.78,1:1:1,1:1:1,
94914851906432,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,133224,1503.78,1:1:1,1:1:1,
94914851906432,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,110662,1503.78,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,109147,11.1827,104813,9372.75,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
856064,0,0,113670,0.106552,87.546,821.627,
856064,0,0,110662,0.0986,87.546,887.89,
856064,0,0,112166,0.096404,87.546,908.116,
856064,0,0,122695,0.096023,87.546,911.719,
856064,0,0,136232,0.095294,87.546,918.694,
856064,0,0,121191,0.095003,87.546,921.508,
856064,0,0,125703,0.09456,87.546,925.825,
856064,0,0,137736,0.09436,87.546,927.787,
856064,0,0,142248,0.094057,87.546,930.776,
856064,0,0,145256,0.093943,87.546,931.906,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,147169,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94914851828016,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,87546,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,42530184,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,9451152,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,20772336,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,31158504,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GIN_node_mlp_2_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.36207,
BUFFER_WR_ACTIVE_TIME_MS,all,11.1827,
BUFFER_TX_ACTIVE_TIME_MS,all,37613.8,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
