Profile Summary
Generated on: 2026-03-26 12:54:30
Msec since Epoch: 1774544070595
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,5.3417,0.01124,0.232248,2.45516,
clCreateCommandQueue,1,0.020484,0.020484,0.020484,0.020484,
clCreateContext,1,127.309,127.309,127.309,127.309,
clCreateKernel,1,474.186,474.186,474.186,474.186,
clCreateProgramWithBinary,1,911.117,911.117,911.117,911.117,
clEnqueueMigrateMemObjects,25,0.199838,0.00748,0.00799352,0.010136,
clEnqueueTask,25,150.709,0.089543,6.02835,148.489,
clFinish,25,49304.5,1971.38,1972.18,1990.3,
clGetDeviceIDs,2,0.00607,0.001835,0.003035,0.004235,
clGetDeviceInfo,2,10.5875,0.002571,5.29375,10.5849,
clGetExtensionFunctionAddress,2,0.022131,0.005149,0.0110655,0.016982,
clGetExtensionFunctionAddressForPlatform,2,0.007223,0.002185,0.0036115,0.005038,
clGetPlatformInfo,6,0.007815,0.000893,0.0013025,0.001916,
clReleaseCommandQueue,1,0.005454,0.005454,0.005454,0.005454,
clReleaseContext,1,35.8594,35.8594,35.8594,35.8594,
clReleaseDevice,5,0.009468,0.00081,0.0018936,0.003536,
clReleaseKernel,1,13.8063,13.8063,13.8063,13.8063,
clReleaseMemObject,73,0.154733,0.000796,0.00211963,0.010666,
clReleaseProgram,1,0.003556,0.003556,0.003556,0.003556,
clRetainDevice,5,0.012496,0.000871,0.0024992,0.007737,
clRetainMemObject,50,0.142938,0.00165,0.00285876,0.006913,
clSetKernelArg,25,0.055377,0.000951,0.00221508,0.020944,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,49280.8,1971.18,1971.23,1971.36,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94150483706752,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,44653.3,1971.36,1:1:1,1:1:1,
94150483706752,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,89999.9,1971.27,1:1:1,1:1:1,
94150483706752,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,46625.1,1971.26,1:1:1,1:1:1,
94150483706752,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,91971.5,1971.26,1:1:1,1:1:1,
94150483706752,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,66341,1971.26,1:1:1,1:1:1,
94150483706752,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,80142,1971.25,1:1:1,1:1:1,
94150483706752,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,60426.2,1971.25,1:1:1,1:1:1,
94150483706752,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,76198.8,1971.24,1:1:1,1:1:1,
94150483706752,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,48596.7,1971.24,1:1:1,1:1:1,
94150483706752,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,70284.1,1971.24,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,44634.5,18.7493,179098,9552.25,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
450560,0,0,50568.1,0.139064,20,143.819,
450560,0,0,88028.1,0.101953,20,196.169,
450560,0,0,46624.8,0.089077,20,224.525,
450560,0,0,76198.6,0.087584,20,228.352,
450560,0,0,60425.9,0.087323,20,229.035,
450560,0,0,52539.7,0.087,20,229.885,
450560,0,0,68312.3,0.086986,20,229.922,
450560,0,0,84084.9,0.086136,20,232.191,
450560,0,0,89999.7,0.085807,20,233.081,
450560,0,0,74227,0.08576,20,233.209,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,94333.6,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94150483628336,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,20000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,17687592,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,3930576,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,62820672,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,94231008,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GIN_node_mlp_2_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.20262,
BUFFER_WR_ACTIVE_TIME_MS,all,18.7493,
BUFFER_TX_ACTIVE_TIME_MS,all,49308.4,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
