Profile Summary
Generated on: 2026-03-25 14:26:54
Msec since Epoch: 1774463214477
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,0.694801,0.012011,0.0302087,0.120315,
clCreateCommandQueue,1,0.025709,0.025709,0.025709,0.025709,
clCreateContext,1,183.748,183.748,183.748,183.748,
clCreateKernel,1,467.436,467.436,467.436,467.436,
clCreateProgramWithBinary,1,945.905,945.905,945.905,945.905,
clEnqueueMigrateMemObjects,25,0.228626,0.004151,0.00914504,0.028517,
clEnqueueTask,25,148.192,0.066622,5.92766,145.986,
clFinish,25,3269.51,130.675,130.78,131.975,
clGetDeviceIDs,2,0.00423,0.0012,0.002115,0.00303,
clGetDeviceInfo,2,15.6203,0.003558,7.81015,15.6167,
clGetExtensionFunctionAddress,2,0.016659,0.003769,0.0083295,0.01289,
clGetExtensionFunctionAddressForPlatform,2,0.005511,0.00164,0.0027555,0.003871,
clGetPlatformInfo,6,0.00588,0.000685,0.00098,0.001397,
clReleaseCommandQueue,1,0.006253,0.006253,0.006253,0.006253,
clReleaseContext,1,46.1324,46.1324,46.1324,46.1324,
clReleaseDevice,5,0.010003,0.000885,0.0020006,0.003495,
clReleaseKernel,1,5.9532,5.9532,5.9532,5.9532,
clReleaseMemObject,73,0.163184,0.000768,0.0022354,0.006503,
clReleaseProgram,1,0.003552,0.003552,0.003552,0.003552,
clRetainDevice,5,0.010893,0.000879,0.0021786,0.005977,
clRetainMemObject,50,0.15171,0.001149,0.0030342,0.022146,
clSetKernelArg,25,0.040558,0.000689,0.00162232,0.01457,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,3264.16,130.51,130.566,130.595,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94264849326976,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14392.1,130.595,1:1:1,1:1:1,
94264849326976,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,15701.1,130.595,1:1:1,1:1:1,
94264849326976,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,16224.8,130.595,1:1:1,1:1:1,
94264849326976,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13345.1,130.591,1:1:1,1:1:1,
94264849326976,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,15570.2,130.589,1:1:1,1:1:1,
94264849326976,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,15308.4,130.587,1:1:1,1:1:1,
94264849326976,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,15963,130.586,1:1:1,1:1:1,
94264849326976,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14653.9,130.585,1:1:1,1:1:1,
94264849326976,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14784.8,130.582,1:1:1,1:1:1,
94264849326976,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14915.7,130.58,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,13343.8,1.19863,9491.27,7918.46,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
389120,0,0,13475.8,0.093787,8.226,87.7094,
389120,0,0,13737.5,0.0673,8.226,122.229,
389120,0,0,13606.7,0.058657,8.226,140.239,
389120,0,0,15700.9,0.057163,8.226,143.904,
389120,0,0,15046.4,0.05527,8.226,148.833,
389120,0,0,14261,0.055023,8.226,149.501,
389120,0,0,15962.7,0.054823,8.226,150.047,
389120,0,0,16355.5,0.054077,8.226,152.116,
389120,0,0,16486.4,0.05405,8.226,152.192,
389120,0,0,16224.5,0.053973,8.226,152.41,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,16739.9,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94264849248560,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,8226,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,3741372,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,831416,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,1829232,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,2743848,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GIN_node_mlp_2_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,1.39871,
BUFFER_WR_ACTIVE_TIME_MS,all,1.19863,
BUFFER_TX_ACTIVE_TIME_MS,all,3273.48,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
