Profile Summary
Generated on: 2026-03-25 14:33:22
Msec since Epoch: 1774463602097
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,0.96319,0.012595,0.0418778,0.174309,
clCreateCommandQueue,1,0.021874,0.021874,0.021874,0.021874,
clCreateContext,1,178.319,178.319,178.319,178.319,
clCreateKernel,1,522.327,522.327,522.327,522.327,
clCreateProgramWithBinary,1,1014.21,1014.21,1014.21,1014.21,
clEnqueueMigrateMemObjects,25,0.210675,0.004513,0.008427,0.0143,
clEnqueueTask,25,138.21,0.05628,5.52841,136.091,
clFinish,25,3063.7,122.408,122.548,123.669,
clGetDeviceIDs,2,0.005192,0.001243,0.002596,0.003949,
clGetDeviceInfo,2,13.0087,0.00256,6.50436,13.0062,
clGetExtensionFunctionAddress,2,0.016475,0.003669,0.0082375,0.012806,
clGetExtensionFunctionAddressForPlatform,2,0.005531,0.001522,0.0027655,0.004009,
clGetPlatformInfo,6,0.006347,0.000777,0.00105783,0.001523,
clReleaseCommandQueue,1,0.005778,0.005778,0.005778,0.005778,
clReleaseContext,1,78.8138,78.8138,78.8138,78.8138,
clReleaseDevice,5,0.010395,0.001131,0.002079,0.003253,
clReleaseKernel,1,5.55788,5.55788,5.55788,5.55788,
clReleaseMemObject,73,0.161956,0.001089,0.00221858,0.006133,
clReleaseProgram,1,0.005064,0.005064,0.005064,0.005064,
clRetainDevice,5,0.010145,0.0008,0.002029,0.005545,
clRetainMemObject,50,0.138157,0.001131,0.00276314,0.005764,
clSetKernelArg,25,0.06198,0.00121,0.0024792,0.02082,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,3058.46,122.311,122.338,122.373,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
93936652825472,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,12209.2,122.373,1:1:1,1:1:1,
93936652825472,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,11350.5,122.369,1:1:1,1:1:1,
93936652825472,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,12086.5,122.366,1:1:1,1:1:1,
93936652825472,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,11105.2,122.362,1:1:1,1:1:1,
93936652825472,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,11963.8,122.35,1:1:1,1:1:1,
93936652825472,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13926.4,122.344,1:1:1,1:1:1,
93936652825472,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13067.8,122.344,1:1:1,1:1:1,
93936652825472,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,11227.8,122.343,1:1:1,1:1:1,
93936652825472,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14049.1,122.342,1:1:1,1:1:1,
93936652825472,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,12331.9,122.34,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,11104,1.19601,9491.27,7935.75,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
389120,0,0,11595.5,0.11967,8.226,68.739,
389120,0,0,12577,0.093266,8.226,88.1993,
389120,0,0,12331.7,0.089247,8.226,92.1712,
389120,0,0,12208.9,0.08663,8.226,94.9556,
389120,0,0,13680.9,0.083343,8.226,98.7006,
389120,0,0,13067.6,0.083196,8.226,98.8749,
389120,0,0,12454.3,0.082897,8.226,99.2316,
389120,0,0,13190.3,0.08216,8.226,100.122,
389120,0,0,13558.2,0.082016,8.226,100.298,
389120,0,0,13312.9,0.082013,8.226,100.301,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,14326.1,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,93936652747056,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,8226,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,3741372,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,831416,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,1829232,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,2743848,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GIN_node_mlp_2_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,1.88396,
BUFFER_WR_ACTIVE_TIME_MS,all,1.19601,
BUFFER_TX_ACTIVE_TIME_MS,all,3067.58,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
