Profile Summary
Generated on: 2026-03-26 12:25:06
Msec since Epoch: 1774542306887
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,4.35615,0.011881,0.189398,1.68232,
clCreateCommandQueue,1,0.010865,0.010865,0.010865,0.010865,
clCreateContext,1,44.1055,44.1055,44.1055,44.1055,
clCreateKernel,1,469.027,469.027,469.027,469.027,
clCreateProgramWithBinary,1,872.766,872.766,872.766,872.766,
clEnqueueMigrateMemObjects,25,0.206948,0.00763,0.00827792,0.011084,
clEnqueueTask,25,173.887,0.089537,6.95548,171.647,
clFinish,25,33340.1,1333.11,1333.61,1344.38,
clGetDeviceIDs,2,0.003668,0.000874,0.001834,0.002794,
clGetDeviceInfo,2,8.06603,0.001933,4.03301,8.0641,
clGetExtensionFunctionAddress,2,0.018608,0.002696,0.009304,0.015912,
clGetExtensionFunctionAddressForPlatform,2,0.004491,0.001133,0.0022455,0.003358,
clGetPlatformInfo,6,0.004491,0.000506,0.0007485,0.00124,
clReleaseCommandQueue,1,0.007062,0.007062,0.007062,0.007062,
clReleaseContext,1,53.3224,53.3224,53.3224,53.3224,
clReleaseDevice,5,0.009159,0.00082,0.0018318,0.003522,
clReleaseKernel,1,10.5411,10.5411,10.5411,10.5411,
clReleaseMemObject,73,0.152232,0.000871,0.00208537,0.004798,
clReleaseProgram,1,0.003411,0.003411,0.003411,0.003411,
clRetainDevice,5,0.024206,0.000526,0.0048412,0.017098,
clRetainMemObject,50,0.146109,0.001807,0.00292218,0.00648,
clSetKernelArg,25,0.082973,0.001637,0.00331892,0.027844,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,33323.9,1332.91,1332.96,1333.1,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,109386,1333.1,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,140052,1332.98,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,136052,1332.98,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,134719,1332.98,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,138719,1332.97,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,130719,1332.97,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,141386,1332.97,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,114719,1332.97,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,120052,1332.96,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,110719,1332.96,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,109375,11.1072,104813,9436.44,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
856064,0,0,113386,0.106654,87.546,820.841,
856064,0,0,110719,0.09843,87.546,889.424,
856064,0,0,138719,0.096504,87.546,907.175,
856064,0,0,112052,0.09625,87.546,909.569,
856064,0,0,132052,0.09514,87.546,920.181,
856064,0,0,121386,0.095,87.546,921.537,
856064,0,0,129385,0.094723,87.546,924.232,
856064,0,0,134719,0.094586,87.546,925.57,
856064,0,0,140052,0.094257,87.546,928.801,
856064,0,0,128052,0.09413,87.546,930.054,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,143205,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94490835251504,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,87546,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,42530184,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,9451152,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,20772336,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,31158504,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GIN_node_mlp_2_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.36488,
BUFFER_WR_ACTIVE_TIME_MS,all,11.1072,
BUFFER_TX_ACTIVE_TIME_MS,all,33344.2,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
