Profile Summary
Generated on: 2026-03-26 13:01:57
Msec since Epoch: 1774544517687
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,6.86002,0.010448,0.298262,3.05572,
clCreateCommandQueue,1,0.021616,0.021616,0.021616,0.021616,
clCreateContext,1,55.2024,55.2024,55.2024,55.2024,
clCreateKernel,1,467.83,467.83,467.83,467.83,
clCreateProgramWithBinary,1,919.24,919.24,919.24,919.24,
clEnqueueMigrateMemObjects,25,0.199554,0.007327,0.00798216,0.009594,
clEnqueueTask,25,206.191,0.090257,8.24763,203.94,
clFinish,25,40358.5,1613.5,1614.34,1632.58,
clGetDeviceIDs,2,0.004432,0.001302,0.002216,0.00313,
clGetDeviceInfo,2,10.4228,0.002491,5.2114,10.4203,
clGetExtensionFunctionAddress,2,0.019032,0.004033,0.009516,0.014999,
clGetExtensionFunctionAddressForPlatform,2,0.007222,0.00165,0.003611,0.005572,
clGetPlatformInfo,6,0.006451,0.000786,0.00107517,0.001494,
clReleaseCommandQueue,1,0.004987,0.004987,0.004987,0.004987,
clReleaseContext,1,46.4328,46.4328,46.4328,46.4328,
clReleaseDevice,5,0.009176,0.000791,0.0018352,0.003905,
clReleaseKernel,1,13.6549,13.6549,13.6549,13.6549,
clReleaseMemObject,73,0.145809,0.000816,0.00199738,0.004464,
clReleaseProgram,1,0.004011,0.004011,0.004011,0.004011,
clRetainDevice,5,0.008728,0.000846,0.0017456,0.004428,
clRetainMemObject,50,0.138818,0.00177,0.00277636,0.007094,
clSetKernelArg,25,0.078373,0.00166,0.00313492,0.02655,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,40334.6,1613.31,1613.38,1613.54,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94878681707392,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,33034.5,1613.54,1:1:1,1:1:1,
94878681707392,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,39489.8,1613.41,1:1:1,1:1:1,
94878681707392,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,71764.5,1613.41,1:1:1,1:1:1,
94878681707392,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,52399.8,1613.41,1:1:1,1:1:1,
94878681707392,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,58854.7,1613.41,1:1:1,1:1:1,
94878681707392,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,50786,1613.41,1:1:1,1:1:1,
94878681707392,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,49172.2,1613.41,1:1:1,1:1:1,
94878681707392,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,65309.6,1613.4,1:1:1,1:1:1,
94878681707392,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,42717.3,1613.4,1:1:1,1:1:1,
94878681707392,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,34648.5,1613.4,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,33015.6,18.8624,179098,9494.97,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
450560,0,0,37875.8,0.098346,20,203.364,
450560,0,0,36262,0.093609,20,213.655,
450560,0,0,42717,0.089513,20,223.431,
450560,0,0,34648.2,0.089044,20,224.608,
450560,0,0,60468.2,0.08886,20,225.073,
450560,0,0,65309.3,0.08807,20,227.092,
450560,0,0,55627,0.087637,20,228.214,
450560,0,0,54013.3,0.087546,20,228.451,
450560,0,0,41103.3,0.08737,20,228.912,
450560,0,0,39489.5,0.087134,20,229.532,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,73778.2,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94878681628976,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,20000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,17687592,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,3930576,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,62820672,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,94231008,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GIN_node_mlp_2_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.19667,
BUFFER_WR_ACTIVE_TIME_MS,all,18.8624,
BUFFER_TX_ACTIVE_TIME_MS,all,40362.5,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
