Profile Summary
Generated on: 2026-03-25 14:36:08
Msec since Epoch: 1774463768757
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,1.0267,0.01156,0.0446391,0.184116,
clCreateCommandQueue,1,0.009779,0.009779,0.009779,0.009779,
clCreateContext,1,118.327,118.327,118.327,118.327,
clCreateKernel,1,486.221,486.221,486.221,486.221,
clCreateProgramWithBinary,1,900.183,900.183,900.183,900.183,
clEnqueueMigrateMemObjects,25,0.221076,0.007953,0.00884304,0.011846,
clEnqueueTask,25,87.581,0.092204,3.50324,85.3067,
clFinish,25,2777.28,110.999,111.091,112.272,
clGetDeviceIDs,2,0.003257,0.000769,0.0016285,0.002488,
clGetDeviceInfo,2,9.55247,0.00192,4.77623,9.55055,
clGetExtensionFunctionAddress,2,0.022431,0.002602,0.0112155,0.019829,
clGetExtensionFunctionAddressForPlatform,2,0.00879,0.00111,0.004395,0.00768,
clGetPlatformInfo,6,0.004003,0.000458,0.000667167,0.000989,
clReleaseCommandQueue,1,0.0069,0.0069,0.0069,0.0069,
clReleaseContext,1,34.736,34.736,34.736,34.736,
clReleaseDevice,5,0.010272,0.000864,0.0020544,0.003653,
clReleaseKernel,1,6.17641,6.17641,6.17641,6.17641,
clReleaseMemObject,73,0.167439,0.00115,0.00229368,0.006693,
clReleaseProgram,1,0.003723,0.003723,0.003723,0.003723,
clRetainDevice,5,0.007659,0.000545,0.0015318,0.004526,
clRetainMemObject,50,0.141238,0.001633,0.00282476,0.00592,
clSetKernelArg,25,0.131144,0.00162,0.00524576,0.055207,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,2772.01,110.84,110.88,110.975,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94199718622080,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,11641.3,110.975,1:1:1,1:1:1,
94199718622080,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13865.5,110.903,1:1:1,1:1:1,
94199718622080,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,12975.7,110.902,1:1:1,1:1:1,
94199718622080,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14310.4,110.902,1:1:1,1:1:1,
94199718622080,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13198.2,110.902,1:1:1,1:1:1,
94199718622080,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14199.2,110.901,1:1:1,1:1:1,
94199718622080,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13531.9,110.901,1:1:1,1:1:1,
94199718622080,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13754.3,110.898,1:1:1,1:1:1,
94199718622080,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,12864.5,110.896,1:1:1,1:1:1,
94199718622080,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13420.7,110.893,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,11640,1.21741,9491.27,7796.27,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
389120,0,0,11752.4,0.073823,8.226,111.429,
389120,0,0,13086.8,0.071113,8.226,115.675,
389120,0,0,11974.8,0.06789,8.226,121.167,
389120,0,0,13420.4,0.056133,8.226,146.545,
389120,0,0,11863.6,0.056053,8.226,146.754,
389120,0,0,13754.1,0.05548,8.226,148.27,
389120,0,0,12530.7,0.054583,8.226,150.706,
389120,0,0,12086,0.054267,8.226,151.584,
389120,0,0,12641.9,0.05426,8.226,151.603,
389120,0,0,13309.2,0.05422,8.226,151.715,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,14534.3,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94199718543664,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,8226,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,3741372,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,831416,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,1829232,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,2743848,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GIN_node_mlp_2_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,1.40202,
BUFFER_WR_ACTIVE_TIME_MS,all,1.21741,
BUFFER_TX_ACTIVE_TIME_MS,all,2781.44,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
