Profile Summary
Generated on: 2026-03-26 12:29:39
Msec since Epoch: 1774542579199
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,4.86694,0.010677,0.211606,1.85611,
clCreateCommandQueue,1,0.026635,0.026635,0.026635,0.026635,
clCreateContext,1,177.349,177.349,177.349,177.349,
clCreateKernel,1,466.318,466.318,466.318,466.318,
clCreateProgramWithBinary,1,998.675,998.675,998.675,998.675,
clEnqueueMigrateMemObjects,25,0.200314,0.007376,0.00801256,0.01063,
clEnqueueTask,25,148.956,0.08999,5.95825,146.68,
clFinish,25,30227,1208.58,1209.08,1219.92,
clGetDeviceIDs,2,0.004552,0.001194,0.002276,0.003358,
clGetDeviceInfo,2,11.7566,0.003026,5.87828,11.7535,
clGetExtensionFunctionAddress,2,0.017722,0.003956,0.008861,0.013766,
clGetExtensionFunctionAddressForPlatform,2,0.005802,0.001734,0.002901,0.004068,
clGetPlatformInfo,6,0.006264,0.000728,0.001044,0.001528,
clReleaseCommandQueue,1,0.007031,0.007031,0.007031,0.007031,
clReleaseContext,1,42.8717,42.8717,42.8717,42.8717,
clReleaseDevice,5,0.009394,0.000802,0.0018788,0.003325,
clReleaseKernel,1,10.1976,10.1976,10.1976,10.1976,
clReleaseMemObject,73,0.151011,0.00086,0.00206864,0.005516,
clReleaseProgram,1,0.003532,0.003532,0.003532,0.003532,
clRetainDevice,5,0.01178,0.000782,0.002356,0.00732,
clRetainMemObject,50,0.147892,0.001757,0.00295784,0.006933,
clSetKernelArg,25,0.087272,0.001897,0.00349088,0.026327,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,30210.6,1208.38,1208.42,1208.53,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94908183241600,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,109859,1208.53,1:1:1,1:1:1,
94908183241600,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,138871,1208.48,1:1:1,1:1:1,
94908183241600,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,118321,1208.45,1:1:1,1:1:1,
94908183241600,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,130409,1208.44,1:1:1,1:1:1,
94908183241600,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,123156,1208.44,1:1:1,1:1:1,
94908183241600,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,137662,1208.44,1:1:1,1:1:1,
94908183241600,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,112277,1208.43,1:1:1,1:1:1,
94908183241600,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,121948,1208.43,1:1:1,1:1:1,
94908183241600,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,127991,1208.42,1:1:1,1:1:1,
94908183241600,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,114695,1208.42,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,109848,11.2175,104813,9343.72,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
856064,0,0,132826,0.107447,87.546,814.783,
856064,0,0,113486,0.106296,87.546,823.606,
856064,0,0,135244,0.104737,87.546,835.865,
856064,0,0,111068,0.097067,87.546,901.913,
856064,0,0,124365,0.095157,87.546,920.016,
856064,0,0,140079,0.095047,87.546,921.081,
856064,0,0,112277,0.094994,87.546,921.595,
856064,0,0,121947,0.09487,87.546,922.8,
856064,0,0,127991,0.094786,87.546,923.617,
856064,0,0,117112,0.094756,87.546,923.91,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,140491,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94908183163184,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,87546,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,42530184,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,9451152,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,20772336,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,31158504,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GIN_node_mlp_2_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.39285,
BUFFER_WR_ACTIVE_TIME_MS,all,11.2175,
BUFFER_TX_ACTIVE_TIME_MS,all,30231,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
