Profile Summary
Generated on: 2026-03-26 19:52:51
Msec since Epoch: 1774569171507
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,7.35907,0.010811,0.319959,3.61157,
clCreateCommandQueue,1,0.028193,0.028193,0.028193,0.028193,
clCreateContext,1,96.308,96.308,96.308,96.308,
clCreateKernel,1,302.558,302.558,302.558,302.558,
clCreateProgramWithBinary,1,707.885,707.885,707.885,707.885,
clEnqueueMigrateMemObjects,25,0.203909,0.007313,0.00815636,0.01082,
clEnqueueTask,25,137.355,0.084107,5.49419,135.275,
clFinish,25,42055.3,1681.5,1682.21,1697.31,
clGetDeviceIDs,2,0.004881,0.001447,0.0024405,0.003434,
clGetDeviceInfo,2,12.4726,0.002908,6.23629,12.4697,
clGetExtensionFunctionAddress,2,0.018297,0.003965,0.0091485,0.014332,
clGetExtensionFunctionAddressForPlatform,2,0.005759,0.001454,0.0028795,0.004305,
clGetPlatformInfo,6,0.006155,0.000706,0.00102583,0.001823,
clReleaseCommandQueue,1,0.004722,0.004722,0.004722,0.004722,
clReleaseContext,1,38.9902,38.9902,38.9902,38.9902,
clReleaseDevice,5,0.009533,0.000821,0.0019066,0.003337,
clReleaseKernel,1,12.7293,12.7293,12.7293,12.7293,
clReleaseMemObject,73,0.305358,0.000825,0.00418299,0.11989,
clReleaseProgram,1,0.003521,0.003521,0.003521,0.003521,
clRetainDevice,5,0.012101,0.000887,0.0024202,0.007587,
clRetainMemObject,50,0.134061,0.001767,0.00268122,0.00639,
clSetKernelArg,18,0.065053,0.00168,0.00361406,0.02404,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,42035.2,1681.3,1681.41,1681.51,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94882693047136,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,44612,1681.51,1:1:1,1:1:1,
94882693047136,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,66474.9,1681.47,1:1:1,1:1:1,
94882693047136,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,51339.2,1681.45,1:1:1,1:1:1,
94882693047136,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,49657.4,1681.44,1:1:1,1:1:1,
94882693047136,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,61429.7,1681.43,1:1:1,1:1:1,
94882693047136,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,53021,1681.43,1:1:1,1:1:1,
94882693047136,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,83292.2,1681.42,1:1:1,1:1:1,
94882693047136,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,69838.4,1681.42,1:1:1,1:1:1,
94882693047136,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,81610.4,1681.41,1:1:1,1:1:1,
94882693047136,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,54702.7,1681.41,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,44596.4,15.5447,175149,11267.4,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
450560,0,0,49657.2,0.09798,20,204.123,
450560,0,0,47975.4,0.091326,20,218.996,
450560,0,0,84973.7,0.091194,20,219.313,
450560,0,0,46293.6,0.090424,20,221.18,
450560,0,0,83291.9,0.088477,20,226.047,
450560,0,0,79928.5,0.088173,20,226.827,
450560,0,0,76565,0.08776,20,227.894,
450560,0,0,63111.2,0.087424,20,228.77,
450560,0,0,53020.7,0.087047,20,229.761,
450560,0,0,56384.3,0.086814,20,230.378,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,87043,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94882692968816,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,20000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,17687592,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,62820672,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,94231008,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GIN_node_mlp_2_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.17051,
BUFFER_WR_ACTIVE_TIME_MS,all,15.5447,
BUFFER_TX_ACTIVE_TIME_MS,all,42059.1,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
XRT_INI_SETTING,AIE_profile_settings.interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_metrics,,Metric set for profiling AI Engine processor modules per graph
