Profile Summary
Generated on: 2026-03-26 19:39:54
Msec since Epoch: 1774568394968
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,4.78856,0.00977,0.208198,1.8796,
clCreateCommandQueue,1,0.028011,0.028011,0.028011,0.028011,
clCreateContext,1,60.1179,60.1179,60.1179,60.1179,
clCreateKernel,1,362.814,362.814,362.814,362.814,
clCreateProgramWithBinary,1,4366.31,4366.31,4366.31,4366.31,
clEnqueueMigrateMemObjects,25,0.209741,0.007654,0.00838964,0.009794,
clEnqueueTask,25,141.47,0.08603,5.65882,139.368,
clFinish,25,28322.2,1132.49,1132.89,1141.27,
clGetDeviceIDs,2,0.004632,0.001325,0.002316,0.003307,
clGetDeviceInfo,2,14.7091,0.002982,7.35454,14.7061,
clGetExtensionFunctionAddress,2,0.018147,0.003737,0.0090735,0.01441,
clGetExtensionFunctionAddressForPlatform,2,0.005681,0.001429,0.0028405,0.004252,
clGetPlatformInfo,6,0.006201,0.000754,0.0010335,0.001775,
clReleaseCommandQueue,1,0.006495,0.006495,0.006495,0.006495,
clReleaseContext,1,57.2879,57.2879,57.2879,57.2879,
clReleaseDevice,5,0.013958,0.001146,0.0027916,0.004931,
clReleaseKernel,1,7.45863,7.45863,7.45863,7.45863,
clReleaseMemObject,73,0.323689,0.000822,0.0044341,0.134117,
clReleaseProgram,1,0.003934,0.003934,0.003934,0.003934,
clRetainDevice,5,0.01096,0.000802,0.002192,0.006421,
clRetainMemObject,50,0.138076,0.00162,0.00276152,0.00601,
clSetKernelArg,18,0.067072,0.001647,0.00372622,0.026083,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,28309.1,1132.29,1132.36,1132.46,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94199187665760,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,114600,1132.46,1:1:1,1:1:1,
94199187665760,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,127060,1132.4,1:1:1,1:1:1,
94199187665760,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,137254,1132.38,1:1:1,1:1:1,
94199187665760,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,122529,1132.38,1:1:1,1:1:1,
94199187665760,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,136121,1132.38,1:1:1,1:1:1,
94199187665760,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,129325,1132.38,1:1:1,1:1:1,
94199187665760,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,138387,1132.38,1:1:1,1:1:1,
94199187665760,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,116865,1132.38,1:1:1,1:1:1,
94199187665760,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,132723,1132.38,1:1:1,1:1:1,
94199187665760,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,121396,1132.37,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,114591,8.61777,95343.1,11063.5,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
856064,0,0,117998,0.096202,87.546,910.023,
856064,0,0,142917,0.093043,87.546,940.92,
856064,0,0,133856,0.09282,87.546,943.18,
856064,0,0,138386,0.092547,87.546,945.963,
856064,0,0,115732,0.092024,87.546,951.339,
856064,0,0,122529,0.09192,87.546,952.415,
856064,0,0,131590,0.09156,87.546,956.16,
856064,0,0,141784,0.091054,87.546,961.473,
856064,0,0,124794,0.09098,87.546,962.255,
856064,0,0,129325,0.090867,87.546,963.452,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,143330,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94199187587440,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,87546,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,42530184,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,20772336,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,31158504,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GIN_node_mlp_2_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.26382,
BUFFER_WR_ACTIVE_TIME_MS,all,8.61777,
BUFFER_TX_ACTIVE_TIME_MS,all,28326,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
XRT_INI_SETTING,AIE_profile_settings.interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_metrics,,Metric set for profiling AI Engine processor modules per graph
