Profile Summary
Generated on: 2026-03-26 21:34:10
Msec since Epoch: 1774575250563
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,5.05197,0.01416,0.219651,2.49674,
clCreateCommandQueue,1,0.018486,0.018486,0.018486,0.018486,
clCreateContext,1,158.277,158.277,158.277,158.277,
clCreateKernel,1,157.382,157.382,157.382,157.382,
clCreateProgramWithBinary,1,4472.58,4472.58,4472.58,4472.58,
clEnqueueMigrateMemObjects,25,0.207548,0.007713,0.00830192,0.009913,
clEnqueueTask,25,190.537,0.086267,7.6215,188.392,
clFinish,25,34615.7,1384.29,1384.63,1391.89,
clGetDeviceIDs,2,0.00602,0.001531,0.00301,0.004489,
clGetDeviceInfo,2,19.5768,0.00484,9.7884,19.572,
clGetExtensionFunctionAddress,2,0.038089,0.005269,0.0190445,0.03282,
clGetExtensionFunctionAddressForPlatform,2,0.014677,0.001992,0.0073385,0.012685,
clGetPlatformInfo,6,0.008586,0.000966,0.001431,0.002628,
clReleaseCommandQueue,1,0.004956,0.004956,0.004956,0.004956,
clReleaseContext,1,40.0715,40.0715,40.0715,40.0715,
clReleaseDevice,5,0.011132,0.00116,0.0022264,0.004438,
clReleaseKernel,1,7.54598,7.54598,7.54598,7.54598,
clReleaseMemObject,73,1.91796,0.000862,0.0262735,1.64241,
clReleaseProgram,1,0.004892,0.004892,0.004892,0.004892,
clRetainDevice,5,0.014973,0.001144,0.0029946,0.008472,
clRetainMemObject,50,0.144119,0.001787,0.00288238,0.006346,
clSetKernelArg,17,0.061793,0.001727,0.00363488,0.02481,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,34603.4,1384.1,1384.14,1384.21,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
93905779024736,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,37484.7,1384.21,1:1:1,1:1:1,
93905779024736,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,69328,1384.16,1:1:1,1:1:1,
93905779024736,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,55483.3,1384.16,1:1:1,1:1:1,
93905779024736,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,43022.9,1384.16,1:1:1,1:1:1,
93905779024736,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,47176.3,1384.15,1:1:1,1:1:1,
93905779024736,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,59636.7,1384.15,1:1:1,1:1:1,
93905779024736,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,38869.3,1384.15,1:1:1,1:1:1,
93905779024736,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,48560.8,1384.15,1:1:1,1:1:1,
93905779024736,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,58252.3,1384.15,1:1:1,1:1:1,
93905779024736,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,54098.8,1384.14,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,37477.2,7.47068,80874.3,10825.6,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
450560,0,0,41638.1,0.097993,20,204.096,
450560,0,0,69327.8,0.08943,20,223.639,
450560,0,0,40253.6,0.08871,20,225.454,
450560,0,0,45791.6,0.08803,20,227.195,
450560,0,0,38869.1,0.087787,20,227.824,
450560,0,0,55483,0.08727,20,229.174,
450560,0,0,49945.1,0.086466,20,231.305,
450560,0,0,72096.8,0.086464,20,231.31,
450560,0,0,51329.6,0.086203,20,232.01,
450560,0,0,56867.5,0.085877,20,232.891,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,72487.9,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,93905778946416,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,20000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,17687592,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,62820672,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.1621,
BUFFER_WR_ACTIVE_TIME_MS,all,7.47068,
BUFFER_TX_ACTIVE_TIME_MS,all,34619.6,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
XRT_INI_SETTING,AIE_profile_settings.interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_metrics,,Metric set for profiling AI Engine processor modules per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_memory_metrics,,Metric set for profiling AI Engine memory modules per graph
