Profile Summary
Generated on: 2026-03-26 21:39:41
Msec since Epoch: 1774575581011
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,0.807149,0.010005,0.0350934,0.166956,
clCreateCommandQueue,1,0.030694,0.030694,0.030694,0.030694,
clCreateContext,1,134.484,134.484,134.484,134.484,
clCreateKernel,1,119.76,119.76,119.76,119.76,
clCreateProgramWithBinary,1,308.426,308.426,308.426,308.426,
clEnqueueMigrateMemObjects,25,0.205187,0.003912,0.00820748,0.022854,
clEnqueueTask,25,71.8583,0.08335,2.87433,69.7859,
clFinish,25,2232.12,89.1193,89.2848,90.1104,
clGetDeviceIDs,2,0.006286,0.0019,0.003143,0.004386,
clGetDeviceInfo,2,11.6438,0.002672,5.82188,11.6411,
clGetExtensionFunctionAddress,2,0.024455,0.005615,0.0122275,0.01884,
clGetExtensionFunctionAddressForPlatform,2,0.00798,0.002148,0.00399,0.005832,
clGetPlatformInfo,6,0.008787,0.001046,0.0014645,0.002528,
clReleaseCommandQueue,1,0.006355,0.006355,0.006355,0.006355,
clReleaseContext,1,41.4687,41.4687,41.4687,41.4687,
clReleaseDevice,5,0.010015,0.000809,0.002003,0.00322,
clReleaseKernel,1,6.30425,6.30425,6.30425,6.30425,
clReleaseMemObject,73,0.311542,0.000924,0.0042677,0.047996,
clReleaseProgram,1,0.003907,0.003907,0.003907,0.003907,
clRetainDevice,5,0.011416,0.000862,0.0022832,0.006533,
clRetainMemObject,50,0.130559,0.000963,0.00261118,0.004117,
clSetKernelArg,17,0.037768,0.000759,0.00222165,0.019155,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,2226.49,88.9692,89.0596,89.1044,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94541335356256,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,15503.4,89.1044,1:1:1,1:1:1,
94541335356256,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,17023.1,89.0963,1:1:1,1:1:1,
94541335356256,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,16933.7,89.0954,1:1:1,1:1:1,
94541335356256,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,17649.1,89.0925,1:1:1,1:1:1,
94541335356256,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,16844.3,89.0916,1:1:1,1:1:1,
94541335356256,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,16754.8,89.0909,1:1:1,1:1:1,
94541335356256,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,17470.2,89.0858,1:1:1,1:1:1,
94541335356256,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,17380.8,89.0833,1:1:1,1:1:1,
94541335356256,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,15861,89.0751,1:1:1,1:1:1,
94541335356256,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,17112.6,89.0738,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,15502.6,0.794631,5854.18,7367.17,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
389120,0,0,15771.3,0.096343,8.226,85.3824,
389120,0,0,16575.7,0.086637,8.226,94.9479,
389120,0,0,17738.3,0.0861,8.226,95.5401,
389120,0,0,17470,0.086087,8.226,95.5545,
389120,0,0,17022.9,0.086014,8.226,95.6356,
389120,0,0,16933.4,0.08558,8.226,96.1206,
389120,0,0,15592.6,0.085176,8.226,96.5765,
389120,0,0,17559.4,0.084993,8.226,96.7844,
389120,0,0,16844,0.084973,8.226,96.8072,
389120,0,0,17648.8,0.08493,8.226,96.8562,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,17849.3,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94541335277936,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,8226,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,3741372,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,1829232,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.10871,
BUFFER_WR_ACTIVE_TIME_MS,all,0.794631,
BUFFER_TX_ACTIVE_TIME_MS,all,2235.82,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
XRT_INI_SETTING,AIE_profile_settings.interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_metrics,,Metric set for profiling AI Engine processor modules per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_memory_metrics,,Metric set for profiling AI Engine memory modules per graph
