Profile Summary
Generated on: 2026-03-26 21:51:36
Msec since Epoch: 1774576296467
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,4.59576,0.00986,0.199816,1.75357,
clCreateCommandQueue,1,0.016798,0.016798,0.016798,0.016798,
clCreateContext,1,218.889,218.889,218.889,218.889,
clCreateKernel,1,121.769,121.769,121.769,121.769,
clCreateProgramWithBinary,1,331.923,331.923,331.923,331.923,
clEnqueueMigrateMemObjects,25,0.199912,0.00707,0.00799648,0.010287,
clEnqueueTask,25,58.1908,0.084514,2.32763,56.0982,
clFinish,25,24473.5,978.655,978.942,984.786,
clGetDeviceIDs,2,0.004525,0.001118,0.0022625,0.003407,
clGetDeviceInfo,2,13.3415,0.003256,6.67073,13.3382,
clGetExtensionFunctionAddress,2,0.031121,0.004038,0.0155605,0.027083,
clGetExtensionFunctionAddressForPlatform,2,0.012052,0.00155,0.006026,0.010502,
clGetPlatformInfo,6,0.00608,0.000697,0.00101333,0.00176,
clReleaseCommandQueue,1,0.006169,0.006169,0.006169,0.006169,
clReleaseContext,1,30.782,30.782,30.782,30.782,
clReleaseDevice,5,0.010514,0.001129,0.0021028,0.004346,
clReleaseKernel,1,6.82634,6.82634,6.82634,6.82634,
clReleaseMemObject,73,0.603952,0.000862,0.00827332,0.272558,
clReleaseProgram,1,0.003513,0.003513,0.003513,0.003513,
clRetainDevice,5,0.01244,0.000824,0.002488,0.007723,
clRetainMemObject,50,0.139905,0.001703,0.0027981,0.006523,
clSetKernelArg,17,0.060242,0.001634,0.00354365,0.02423,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,24462.9,978.475,978.518,978.595,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94269050143584,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,158704,978.595,1:1:1,1:1:1,
94269050143584,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,172408,978.536,1:1:1,1:1:1,
94269050143584,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,167514,978.535,1:1:1,1:1:1,
94269050143584,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,178282,978.534,1:1:1,1:1:1,
94269050143584,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,159683,978.534,1:1:1,1:1:1,
94269050143584,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,163599,978.534,1:1:1,1:1:1,
94269050143584,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,160662,978.532,1:1:1,1:1:1,
94269050143584,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,169472,978.532,1:1:1,1:1:1,
94269050143584,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,180239,978.528,1:1:1,1:1:1,
94269050143584,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,181218,978.526,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,158698,6.01825,64141.3,10657.8,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
856064,0,0,161641,0.107526,87.546,814.184,
856064,0,0,160662,0.093623,87.546,935.091,
856064,0,0,176324,0.093616,87.546,935.161,
856064,0,0,180239,0.09289,87.546,942.47,
856064,0,0,174366,0.09288,87.546,942.571,
856064,0,0,178281,0.09284,87.546,942.977,
856064,0,0,173387,0.09221,87.546,949.42,
856064,0,0,159683,0.09212,87.546,950.347,
856064,0,0,179260,0.09182,87.546,953.452,
856064,0,0,172408,0.091197,87.546,959.966,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,183561,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94269050065264,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,87546,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,42530184,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,20772336,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.28453,
BUFFER_WR_ACTIVE_TIME_MS,all,6.01825,
BUFFER_TX_ACTIVE_TIME_MS,all,24477.3,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
XRT_INI_SETTING,AIE_profile_settings.interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_metrics,,Metric set for profiling AI Engine processor modules per graph
