Profile Summary
Generated on: 2026-03-28 12:25:56
Msec since Epoch: 1774715156148
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,0.812655,0.012602,0.0353328,0.156108,
clCreateCommandQueue,1,0.010013,0.010013,0.010013,0.010013,
clCreateContext,1,129.527,129.527,129.527,129.527,
clCreateKernel,1,200.551,200.551,200.551,200.551,
clCreateProgramWithBinary,1,394.488,394.488,394.488,394.488,
clEnqueueMigrateMemObjects,25,0.149009,0.004275,0.00596036,0.009887,
clEnqueueTask,25,74.8818,0.050802,2.99527,73.2175,
clFinish,25,2347.19,93.7999,93.8876,94.7549,
clGetDeviceIDs,2,0.004141,0.001205,0.0020705,0.002936,
clGetDeviceInfo,2,8.43006,0.001771,4.21503,8.42829,
clGetExtensionFunctionAddress,2,0.027205,0.00354,0.0136025,0.023665,
clGetExtensionFunctionAddressForPlatform,2,0.010693,0.001322,0.0053465,0.009371,
clGetPlatformInfo,6,0.005579,0.000713,0.000929833,0.00154,
clReleaseCommandQueue,1,0.0055,0.0055,0.0055,0.0055,
clReleaseContext,1,54.7688,54.7688,54.7688,54.7688,
clReleaseDevice,5,0.01034,0.000933,0.002068,0.003124,
clReleaseKernel,1,5.46793,5.46793,5.46793,5.46793,
clReleaseMemObject,73,0.231814,0.00094,0.00317553,0.070047,
clReleaseProgram,1,0.003525,0.003525,0.003525,0.003525,
clRetainDevice,5,0.008342,0.000702,0.0016684,0.004872,
clRetainMemObject,50,0.107632,0.001087,0.00215264,0.00545,
clSetKernelArg,21,0.045946,0.000982,0.0021879,0.017002,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,2342.22,93.6502,93.6888,93.7791,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
93829457863520,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13395.1,93.7791,1:1:1,1:1:1,
93829457863520,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,15086.8,93.699,1:1:1,1:1:1,
93829457863520,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14522.9,93.6983,1:1:1,1:1:1,
93829457863520,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,15556.6,93.6933,1:1:1,1:1:1,
93829457863520,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14429,93.6922,1:1:1,1:1:1,
93829457863520,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14992.9,93.6915,1:1:1,1:1:1,
93829457863520,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,14617,93.6908,1:1:1,1:1:1,
93829457863520,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13959.2,93.6885,1:1:1,1:1:1,
93829457863520,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13489.3,93.6883,1:1:1,1:1:1,
93829457863520,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13865.2,93.6881,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,13394.2,0.873112,6702.3,7676.34,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
389120,0,0,13864.9,0.102903,8.226,79.9394,
389120,0,0,13677,0.09867,8.226,83.3688,
389120,0,0,14053,0.093103,8.226,88.3538,
389120,0,0,14240.9,0.092287,8.226,89.135,
389120,0,0,15368.5,0.09194,8.226,89.4714,
389120,0,0,15556.4,0.09187,8.226,89.5396,
389120,0,0,14428.8,0.091737,8.226,89.6694,
389120,0,0,15180.6,0.09173,8.226,89.6762,
389120,0,0,14992.6,0.091657,8.226,89.7476,
389120,0,0,14616.7,0.091527,8.226,89.8751,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,15865.7,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,93829457785200,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,8226,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,3741372,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,831416,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,1829232,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.13608,
BUFFER_WR_ACTIVE_TIME_MS,all,0.873112,
BUFFER_TX_ACTIVE_TIME_MS,all,2350.16,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
