Profile Summary
Generated on: 2026-03-28 12:39:50
Msec since Epoch: 1774715990040
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,3.34259,0.012125,0.14533,1.17389,
clCreateCommandQueue,1,0.012356,0.012356,0.012356,0.012356,
clCreateContext,1,118.6,118.6,118.6,118.6,
clCreateKernel,1,202.18,202.18,202.18,202.18,
clCreateProgramWithBinary,1,400.888,400.888,400.888,400.888,
clEnqueueMigrateMemObjects,25,0.259222,0.007683,0.0103689,0.027517,
clEnqueueTask,25,156.329,0.101396,6.25317,153.377,
clFinish,25,25669.4,1026.47,1026.78,1033.33,
clGetDeviceIDs,2,0.00517,0.00134,0.002585,0.00383,
clGetDeviceInfo,2,10.8366,0.002458,5.41831,10.8342,
clGetExtensionFunctionAddress,2,0.023834,0.003992,0.011917,0.019842,
clGetExtensionFunctionAddressForPlatform,2,0.00554,0.001472,0.00277,0.004068,
clGetPlatformInfo,6,0.00628,0.000722,0.00104667,0.002012,
clReleaseCommandQueue,1,0.008771,0.008771,0.008771,0.008771,
clReleaseContext,1,62.6408,62.6408,62.6408,62.6408,
clReleaseDevice,5,0.010653,0.000814,0.0021306,0.003495,
clReleaseKernel,1,5.83193,5.83193,5.83193,5.83193,
clReleaseMemObject,73,0.602792,0.000822,0.00825742,0.362808,
clReleaseProgram,1,0.00339,0.00339,0.00339,0.00339,
clRetainDevice,5,0.00976,0.000878,0.001952,0.005449,
clRetainMemObject,50,0.250232,0.001687,0.00500464,0.016177,
clSetKernelArg,21,0.062587,0.001583,0.00298033,0.020673,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,25657.7,1026.27,1026.31,1026.37,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94452825170784,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,139782,1026.37,1:1:1,1:1:1,
94452825170784,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,164423,1026.35,1:1:1,1:1:1,
94452825170784,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,162370,1026.34,1:1:1,1:1:1,
94452825170784,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,161343,1026.34,1:1:1,1:1:1,
94452825170784,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,163397,1026.34,1:1:1,1:1:1,
94452825170784,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,157236,1026.32,1:1:1,1:1:1,
94452825170784,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,160316,1026.31,1:1:1,1:1:1,
94452825170784,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,146969,1026.31,1:1:1,1:1:1,
94452825170784,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,149023,1026.31,1:1:1,1:1:1,
94452825170784,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,154156,1026.31,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,139775,6.81934,73609.2,10794.2,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
856064,0,0,142862,0.124156,87.546,705.129,
856064,0,0,164423,0.106177,87.546,824.529,
856064,0,0,158263,0.105453,87.546,830.19,
856064,0,0,156209,0.10476,87.546,835.682,
856064,0,0,154156,0.104633,87.546,836.696,
856064,0,0,145942,0.104594,87.546,837.008,
856064,0,0,146969,0.10441,87.546,838.483,
856064,0,0,157236,0.10423,87.546,839.931,
856064,0,0,151076,0.10419,87.546,840.253,
856064,0,0,155183,0.104156,87.546,840.528,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,165866,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94452825092464,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,87546,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,42530184,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,9451152,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,20772336,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.61554,
BUFFER_WR_ACTIVE_TIME_MS,all,6.81934,
BUFFER_TX_ACTIVE_TIME_MS,all,25675.1,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
