Profile Summary
Generated on: 2026-03-28 16:51:34
Msec since Epoch: 1774731094235
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,5.1781,0.012545,0.225135,2.43411,
clCreateCommandQueue,1,0.024685,0.024685,0.024685,0.024685,
clCreateContext,1,101.414,101.414,101.414,101.414,
clCreateKernel,1,365.725,365.725,365.725,365.725,
clCreateProgramWithBinary,1,734.773,734.773,734.773,734.773,
clEnqueueMigrateMemObjects,25,0.266067,0.005699,0.0106427,0.020276,
clEnqueueTask,25,154.25,0.08783,6.17,151.56,
clFinish,25,44605,1783.5,1784.2,1799.1,
clGetDeviceIDs,2,0.004133,0.001164,0.0020665,0.002969,
clGetDeviceInfo,2,10.5919,0.002354,5.29595,10.5895,
clGetExtensionFunctionAddress,2,0.015982,0.003651,0.007991,0.012331,
clGetExtensionFunctionAddressForPlatform,2,0.005277,0.001433,0.0026385,0.003844,
clGetPlatformInfo,6,0.005868,0.000689,0.000978,0.001629,
clReleaseCommandQueue,1,0.00508,0.00508,0.00508,0.00508,
clReleaseContext,1,53.1001,53.1001,53.1001,53.1001,
clReleaseDevice,5,0.009532,0.000853,0.0019064,0.003802,
clReleaseKernel,1,13.4047,13.4047,13.4047,13.4047,
clReleaseMemObject,73,0.206539,0.000826,0.0028293,0.037211,
clReleaseProgram,1,0.003488,0.003488,0.003488,0.003488,
clRetainDevice,5,0.021161,0.000727,0.0042322,0.012796,
clRetainMemObject,50,0.158199,0.001483,0.00316398,0.01242,
clSetKernelArg,24,0.065903,0.001564,0.00274596,0.020057,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,44585.4,1783.33,1783.41,1783.56,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,30250.4,1783.56,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,71277,1783.49,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,67709.3,1783.46,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,69493.1,1783.46,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,60574.1,1783.46,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,53438.9,1783.46,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,64141.7,1783.46,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,49871.4,1783.46,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,57006.5,1783.45,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,32034.4,1783.43,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,30235,15.3877,179077,11637.7,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
450560,0,0,35601.7,0.12935,20,154.619,
450560,0,0,67709,0.12026,20,166.306,
450560,0,0,60573.8,0.119297,20,167.649,
450560,0,0,71276.7,0.10968,20,182.349,
450560,0,0,57006.2,0.10889,20,183.672,
450560,0,0,32034.1,0.107431,20,186.166,
450560,0,0,64141.4,0.10643,20,187.917,
450560,0,0,74844.4,0.105833,20,188.977,
450560,0,0,53438.6,0.104534,20,191.325,
450560,0,0,33817.9,0.10212,20,195.848,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,75241.7,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94844801503600,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,40000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,20000,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,17687592,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,3930576,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,62820672,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,94231008,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.47331,
BUFFER_WR_ACTIVE_TIME_MS,all,15.3877,
BUFFER_TX_ACTIVE_TIME_MS,all,44609.5,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
