Profile Summary
Generated on: 2026-03-28 16:34:15
Msec since Epoch: 1774730055632
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,1.13119,0.011925,0.0491823,0.28918,
clCreateCommandQueue,1,0.02447,0.02447,0.02447,0.02447,
clCreateContext,1,104.458,104.458,104.458,104.458,
clCreateKernel,1,384.097,384.097,384.097,384.097,
clCreateProgramWithBinary,1,727.441,727.441,727.441,727.441,
clEnqueueMigrateMemObjects,25,0.218894,0.00755,0.00875576,0.01849,
clEnqueueTask,25,37.3744,0.114093,1.49498,34.3504,
clFinish,25,3046.02,121.671,121.841,122.949,
clGetDeviceIDs,2,0.004035,0.001128,0.0020175,0.002907,
clGetDeviceInfo,2,8.94679,0.002244,4.47339,8.94454,
clGetExtensionFunctionAddress,2,0.015688,0.003506,0.007844,0.012182,
clGetExtensionFunctionAddressForPlatform,2,0.00501,0.001289,0.002505,0.003721,
clGetPlatformInfo,6,0.005832,0.000657,0.000972,0.001886,
clReleaseCommandQueue,1,0.007666,0.007666,0.007666,0.007666,
clReleaseContext,1,44.8195,44.8195,44.8195,44.8195,
clReleaseDevice,5,0.048647,0.000963,0.0097294,0.039395,
clReleaseKernel,1,6.05614,6.05614,6.05614,6.05614,
clReleaseMemObject,73,0.212023,0.001376,0.00290442,0.044867,
clReleaseProgram,1,0.004193,0.004193,0.004193,0.004193,
clRetainDevice,5,0.008138,0.000634,0.0016276,0.004324,
clRetainMemObject,50,0.178671,0.001684,0.00357342,0.015717,
clSetKernelArg,24,0.06873,0.001713,0.00286375,0.020787,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,3040.34,121.552,121.613,121.669,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94907961893728,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,9970.79,121.669,1:1:1,1:1:1,
94907961893728,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,9726.67,121.657,1:1:1,1:1:1,
94907961893728,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,11190.8,121.651,1:1:1,1:1:1,
94907961893728,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,10702.8,121.633,1:1:1,1:1:1,
94907961893728,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,11068.8,121.627,1:1:1,1:1:1,
94907961893728,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,12654.5,121.625,1:1:1,1:1:1,
94907961893728,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,10824.8,121.625,1:1:1,1:1:1,
94907961893728,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,11434.9,121.625,1:1:1,1:1:1,
94907961893728,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,9848.7,121.624,1:1:1,1:1:1,
94907961893728,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,10214.8,121.623,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,9725.48,1.16088,9470.79,8158.26,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
389120,0,0,11434.6,0.12319,8.226,66.7749,
389120,0,0,11678.6,0.11103,8.226,74.0881,
389120,0,0,11922.6,0.110601,8.226,74.3755,
389120,0,0,11190.5,0.11008,8.226,74.7275,
389120,0,0,10702.5,0.10937,8.226,75.2126,
389120,0,0,10458.5,0.10775,8.226,76.3434,
389120,0,0,12654.2,0.107486,8.226,76.5309,
389120,0,0,12166.5,0.10382,8.226,79.2333,
389120,0,0,12410.4,0.1003,8.226,82.014,
389120,0,0,10946.5,0.098706,8.226,83.3384,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,12889,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94907961815408,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,8226,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,3741372,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,831416,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,1829232,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,2743848,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.2413,
BUFFER_WR_ACTIVE_TIME_MS,all,1.16088,
BUFFER_TX_ACTIVE_TIME_MS,all,3050.86,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
