Profile Summary
Generated on: 2026-03-28 16:25:17
Msec since Epoch: 1774729517939
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,3.28609,0.010782,0.142874,1.18614,
clCreateCommandQueue,1,0.013643,0.013643,0.013643,0.013643,
clCreateContext,1,132.511,132.511,132.511,132.511,
clCreateKernel,1,348.811,348.811,348.811,348.811,
clCreateProgramWithBinary,1,650.775,650.775,650.775,650.775,
clEnqueueMigrateMemObjects,25,0.293626,0.008367,0.011745,0.02038,
clEnqueueTask,25,169.557,0.11443,6.78228,166.509,
clFinish,25,33538.9,1341.11,1341.55,1350.43,
clGetDeviceIDs,2,0.004488,0.001084,0.002244,0.003404,
clGetDeviceInfo,2,10.824,0.002478,5.412,10.8215,
clGetExtensionFunctionAddress,2,0.021428,0.003518,0.010714,0.01791,
clGetExtensionFunctionAddressForPlatform,2,0.005076,0.001294,0.002538,0.003782,
clGetPlatformInfo,6,0.005718,0.000686,0.000953,0.001673,
clReleaseCommandQueue,1,0.005741,0.005741,0.005741,0.005741,
clReleaseContext,1,55.0613,55.0613,55.0613,55.0613,
clReleaseDevice,5,0.009359,0.000801,0.0018718,0.003589,
clReleaseKernel,1,7.84643,7.84643,7.84643,7.84643,
clReleaseMemObject,73,0.241434,0.00082,0.00330732,0.047619,
clReleaseProgram,1,0.003416,0.003416,0.003416,0.003416,
clRetainDevice,5,0.008841,0.000754,0.0017682,0.004941,
clRetainMemObject,50,0.163908,0.00176,0.00327816,0.01455,
clSetKernelArg,24,0.076496,0.001556,0.00318733,0.031167,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,33524.9,1340.95,1341,1341.2,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
93991098372960,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,103425,1341.2,1:1:1,1:1:1,
93991098372960,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,104766,1341.03,1:1:1,1:1:1,
93991098372960,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,130252,1341.03,1:1:1,1:1:1,
93991098372960,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,111473,1341.02,1:1:1,1:1:1,
93991098372960,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,131594,1341.02,1:1:1,1:1:1,
93991098372960,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,135618,1341.01,1:1:1,1:1:1,
93991098372960,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,110132,1341.01,1:1:1,1:1:1,
93991098372960,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,114156,1341,1:1:1,1:1:1,
93991098372960,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,134277,1341,1:1:1,1:1:1,
93991098372960,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,116839,1341,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,103416,9.0074,104792,11634,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
856064,0,0,115497,0.12294,87.546,712.103,
856064,0,0,107449,0.110284,87.546,793.823,
856064,0,0,131593,0.10809,87.546,809.936,
856064,0,0,126228,0.1058,87.546,827.467,
856064,0,0,134276,0.10418,87.546,840.334,
856064,0,0,120862,0.104094,87.546,841.028,
856064,0,0,112814,0.104013,87.546,841.683,
856064,0,0,136959,0.103823,87.546,843.224,
856064,0,0,110131,0.10302,87.546,849.796,
856064,0,0,128911,0.102571,87.546,853.516,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,137418,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,93991098294640,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,87546,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,42530184,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,9451152,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,20772336,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,31158504,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.19371,
BUFFER_WR_ACTIVE_TIME_MS,all,9.0074,
BUFFER_TX_ACTIVE_TIME_MS,all,33543.6,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
