Profile Summary
Generated on: 2026-03-28 16:16:10
Msec since Epoch: 1774728970536
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,3.56049,0.010486,0.154804,1.35194,
clCreateCommandQueue,1,0.015926,0.015926,0.015926,0.015926,
clCreateContext,1,128.558,128.558,128.558,128.558,
clCreateKernel,1,401.933,401.933,401.933,401.933,
clCreateProgramWithBinary,1,4870.64,4870.64,4870.64,4870.64,
clEnqueueMigrateMemObjects,25,0.348819,0.007873,0.0139528,0.038693,
clEnqueueTask,25,159.056,0.11709,6.36226,155.953,
clFinish,25,31947.8,1277.48,1277.91,1286.72,
clGetDeviceIDs,2,0.004593,0.001326,0.0022965,0.003267,
clGetDeviceInfo,2,16.3408,0.0036,8.17039,16.3372,
clGetExtensionFunctionAddress,2,0.029443,0.003895,0.0147215,0.025548,
clGetExtensionFunctionAddressForPlatform,2,0.0119,0.001512,0.00595,0.010388,
clGetPlatformInfo,6,0.006024,0.000745,0.001004,0.001703,
clReleaseCommandQueue,1,0.005779,0.005779,0.005779,0.005779,
clReleaseContext,1,64.8426,64.8426,64.8426,64.8426,
clReleaseDevice,5,0.010139,0.001066,0.0020278,0.004051,
clReleaseKernel,1,8.3755,8.3755,8.3755,8.3755,
clReleaseMemObject,73,0.212847,0.000822,0.00291571,0.03917,
clReleaseProgram,1,0.003601,0.003601,0.003601,0.003601,
clRetainDevice,5,0.012308,0.000882,0.0024616,0.0069,
clRetainMemObject,50,0.184197,0.001887,0.00368394,0.01585,
clSetKernelArg,24,0.068814,0.001577,0.00286725,0.0212,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,31935,1277.35,1277.4,1277.47,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94907786511200,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,107166,1277.47,1:1:1,1:1:1,
94907786511200,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,116110,1277.44,1:1:1,1:1:1,
94907786511200,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,135277,1277.43,1:1:1,1:1:1,
94907786511200,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,128888,1277.43,1:1:1,1:1:1,
94907786511200,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,110999,1277.42,1:1:1,1:1:1,
94907786511200,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,127610,1277.42,1:1:1,1:1:1,
94907786511200,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,121221,1277.41,1:1:1,1:1:1,
94907786511200,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,133999,1277.41,1:1:1,1:1:1,
94907786511200,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,137833,1277.41,1:1:1,1:1:1,
94907786511200,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,113554,1277.4,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,107156,9.27105,104792,11303.2,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
856064,0,0,117388,0.078934,87.546,1109.1,
856064,0,0,116110,0.077447,87.546,1130.4,
856064,0,0,128888,0.076987,87.546,1137.15,
856064,0,0,119943,0.074897,87.546,1168.89,
856064,0,0,130166,0.074027,87.546,1182.62,
856064,0,0,132721,0.073847,87.546,1185.51,
856064,0,0,126332,0.07384,87.546,1185.62,
856064,0,0,133999,0.073647,87.546,1188.72,
856064,0,0,114832,0.073543,87.546,1190.41,
856064,0,0,127610,0.073524,87.546,1190.71,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,139555,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94907786432880,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,87546,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,42530184,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,9451152,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,20772336,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,31158504,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,1.78105,
BUFFER_WR_ACTIVE_TIME_MS,all,9.27105,
BUFFER_TX_ACTIVE_TIME_MS,all,31953.9,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
