Profile Summary
Generated on: 2026-03-28 16:32:13
Msec since Epoch: 1774729933523
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,1.09737,0.011878,0.0477118,0.187806,
clCreateCommandQueue,1,0.013007,0.013007,0.013007,0.013007,
clCreateContext,1,206.018,206.018,206.018,206.018,
clCreateKernel,1,382.279,382.279,382.279,382.279,
clCreateProgramWithBinary,1,720.579,720.579,720.579,720.579,
clEnqueueMigrateMemObjects,25,0.289617,0.010496,0.0115847,0.020237,
clEnqueueTask,25,165.749,0.126333,6.62996,162.33,
clFinish,25,2490.49,99.5135,99.6196,100.741,
clGetDeviceIDs,2,0.013973,0.001098,0.0069865,0.012875,
clGetDeviceInfo,2,10.653,0.002344,5.32652,10.6507,
clGetExtensionFunctionAddress,2,0.02101,0.003673,0.010505,0.017337,
clGetExtensionFunctionAddressForPlatform,2,0.005016,0.001307,0.002508,0.003709,
clGetPlatformInfo,6,0.005782,0.000738,0.000963667,0.001598,
clReleaseCommandQueue,1,0.005993,0.005993,0.005993,0.005993,
clReleaseContext,1,60.3066,60.3066,60.3066,60.3066,
clReleaseDevice,5,0.009582,0.000881,0.0019164,0.003617,
clReleaseKernel,1,5.17508,5.17508,5.17508,5.17508,
clReleaseMemObject,73,0.318188,0.000953,0.00435874,0.038573,
clReleaseProgram,1,0.003845,0.003845,0.003845,0.003845,
clRetainDevice,5,0.010244,0.000795,0.0020488,0.005421,
clRetainMemObject,50,0.223005,0.002643,0.0044601,0.014297,
clSetKernelArg,24,0.067282,0.001497,0.00280342,0.020986,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,2486.39,99.4302,99.4555,99.5147,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94838406132576,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,10988,99.5147,1:1:1,1:1:1,
94838406132576,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,11187.9,99.4738,1:1:1,1:1:1,
94838406132576,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13384.2,99.4705,1:1:1,1:1:1,
94838406132576,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13284.3,99.4677,1:1:1,1:1:1,
94838406132576,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13184.4,99.4675,1:1:1,1:1:1,
94838406132576,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,13084.5,99.4674,1:1:1,1:1:1,
94838406132576,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,12485.5,99.4671,1:1:1,1:1:1,
94838406132576,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,12984.7,99.4631,1:1:1,1:1:1,
94838406132576,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,11886.5,99.4629,1:1:1,1:1:1,
94838406132576,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,12785,99.4622,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,10986.9,1.16309,9470.79,8142.81,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
389120,0,0,12385.4,0.099187,8.226,82.9343,
389120,0,0,11187.6,0.09917,8.226,82.9485,
389120,0,0,13383.9,0.098993,8.226,83.0968,
389120,0,0,12485.2,0.098787,8.226,83.2701,
389120,0,0,13184.1,0.098356,8.226,83.635,
389120,0,0,13483.7,0.098067,8.226,83.8814,
389120,0,0,13284,0.09806,8.226,83.8874,
389120,0,0,13084.2,0.097124,8.226,84.6959,
389120,0,0,11287.4,0.096798,8.226,84.9811,
389120,0,0,12585.1,0.096383,8.226,85.347,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,13625.8,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94838406054256,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,16452,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,8226,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,3741372,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,831416,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,1829232,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,2743848,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.36613,
BUFFER_WR_ACTIVE_TIME_MS,all,1.16309,
BUFFER_TX_ACTIVE_TIME_MS,all,2496.96,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
