Profile Summary
Generated on: 2026-03-28 16:20:58
Msec since Epoch: 1774729258143
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,3.63064,0.012532,0.157854,1.27806,
clCreateCommandQueue,1,0.0112,0.0112,0.0112,0.0112,
clCreateContext,1,75.7752,75.7752,75.7752,75.7752,
clCreateKernel,1,349.362,349.362,349.362,349.362,
clCreateProgramWithBinary,1,653.799,653.799,653.799,653.799,
clEnqueueMigrateMemObjects,25,0.218902,0.00779,0.00875608,0.018766,
clEnqueueTask,25,136.164,0.115307,5.44657,132.931,
clFinish,25,27212.2,1088.07,1088.49,1097.29,
clGetDeviceIDs,2,0.004751,0.001447,0.0023755,0.003304,
clGetDeviceInfo,2,9.76273,0.001811,4.88137,9.76092,
clGetExtensionFunctionAddress,2,0.021673,0.003393,0.0108365,0.01828,
clGetExtensionFunctionAddressForPlatform,2,0.005175,0.001288,0.0025875,0.003887,
clGetPlatformInfo,6,0.005623,0.000668,0.000937167,0.001717,
clReleaseCommandQueue,1,0.0044,0.0044,0.0044,0.0044,
clReleaseContext,1,60.0298,60.0298,60.0298,60.0298,
clReleaseDevice,5,0.009039,0.000751,0.0018078,0.003442,
clReleaseKernel,1,6.29261,6.29261,6.29261,6.29261,
clReleaseMemObject,73,0.188388,0.000576,0.00258066,0.032713,
clReleaseProgram,1,0.003757,0.003757,0.003757,0.003757,
clRetainDevice,5,0.00916,0.000797,0.001832,0.005369,
clRetainMemObject,50,0.152793,0.001947,0.00305586,0.007507,
clSetKernelArg,24,0.069595,0.001603,0.00289979,0.02145,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,27198.3,1087.85,1087.93,1087.98,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94014865998688,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,116970,1087.98,1:1:1,1:1:1,
94014865998688,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,128942,1087.98,1:1:1,1:1:1,
94014865998688,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,102822,1087.97,1:1:1,1:1:1,
94014865998688,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,118059,1087.97,1:1:1,1:1:1,
94014865998688,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,113705,1087.97,1:1:1,1:1:1,
94014865998688,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,111529,1087.96,1:1:1,1:1:1,
94014865998688,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,124589,1087.95,1:1:1,1:1:1,
94014865998688,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,121324,1087.95,1:1:1,1:1:1,
94014865998688,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,115882,1087.94,1:1:1,1:1:1,
94014865998688,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,126766,1087.94,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,102813,9.20288,104792,11386.9,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
856064,0,0,118059,0.136083,87.546,643.328,
856064,0,0,106087,0.118104,87.546,741.262,
856064,0,0,130031,0.114384,87.546,765.369,
856064,0,0,124589,0.108533,87.546,806.63,
856064,0,0,126765,0.107144,87.546,817.087,
856064,0,0,128942,0.10698,87.546,818.34,
856064,0,0,127854,0.106963,87.546,818.47,
856064,0,0,110440,0.105914,87.546,826.576,
856064,0,0,111528,0.105593,87.546,829.089,
856064,0,0,120235,0.10529,87.546,831.475,

Guidance Parameters
Parameter,Element,Value,
PLRAM_DEVICE,all,0,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
TRACE_MEMORY,all,N/A,
APPLICATION_RUN_TIME_MS,all,130431,
MIGRATE_MEM,host,25,
P2P_HOST_TRANSFERS,host,0,
OBJECTS_RELEASED,all,1,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,GNN_compute_graphs,1,
COMMAND_QUEUE_OOO,94014865920368,0,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_nodes|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|nums_of_edges|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|reload_weights|HBM[0]|1,175092,
KERNEL_BUFFER_INFO,GNN_compute_graphs|out_r|HBM[0]|1,87546,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_feature_in|HBM[0]|1,42530184,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_eigen_in|HBM[0]|1,9451152,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_list_in|HBM[0]|1,20772336,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_attr_in|HBM[0]|1,31158504,
KERNEL_BUFFER_INFO,GNN_compute_graphs|node_embedding_h_atom_embedding_list_weight_in|HBM[0]|1,100224,
KERNEL_BUFFER_INFO,GNN_compute_graphs|edge_embedding_weight_in|HBM[0]|1,4160,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_weight_in|HBM[0]|1,20480,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_GIN_node_mlp_1_PNA_node_conv_bias_in|HBM[0]|1,640,
KERNEL_BUFFER_INFO,GNN_compute_graphs|layers_posttrans_fully_connected_0_linear_weight_in|HBM[0]|1,16384,
KERNEL_BUFFER_INFO,GNN_compute_graphs|GCN_convs_root_emb_weight_GIN_node_mlp_2_LPFC_0_linear_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|PNA_node_conv_weight_in|HBM[0]|1,122880,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_weight_PNA_graph_DGN_MLP_1_weight_in|HBM[0]|1,1024,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_bias_PNA_graph_DGN_MLP_1_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_mean_PNA_graph_DGN_MLP_2_weight_in|HBM[0]|1,512,
KERNEL_BUFFER_INFO,GNN_compute_graphs|bn_sqrt_var_PNA_graph_DGN_MLP_2_bias_in|HBM[0]|1,320,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_weight_in|HBM[0]|1,64,
KERNEL_BUFFER_INFO,GNN_compute_graphs|graph_pred_PNA_graph_DGN_MLP_3_bias_in|HBM[0]|1,2,
KERNEL_BUFFER_INFO,GNN_compute_graphs|avg_deg_in|HBM[0]|1,10,
BUFFER_RD_ACTIVE_TIME_MS,all,2.64865,
BUFFER_WR_ACTIVE_TIME_MS,all,9.20288,
BUFFER_TX_ACTIVE_TIME_MS,all,27217.9,
XRT_INI_SETTING,opencl_trace,1,Generation of trace of OpenCL APIs and memory transfers
XRT_INI_SETTING,device_counters,0,Hardware counters added to summary file
XRT_INI_SETTING,host_trace,0,Enable the top level of host trace
XRT_INI_SETTING,native_xrt_trace,0,Generation of Native XRT API function trace
XRT_INI_SETTING,xrt_trace,0,Generation of hardware SHIM function trace
XRT_INI_SETTING,device_trace,off,Collection of data from PL monitors and added to summary and trace
XRT_INI_SETTING,power_profile,0,Polling of power data during execution of application
XRT_INI_SETTING,power_profile_interval_ms,20,Interval for reading power data (in ms)
XRT_INI_SETTING,stall_trace,off,Enables hardware generation of stalls in compute units
XRT_INI_SETTING,trace_buffer_size,1M,Size of buffer to allocate for trace (memory offload only)
XRT_INI_SETTING,verbosity,4,Verbosity level
XRT_INI_SETTING,continuous_trace,0,Continuous offloading of trace from memory to host
XRT_INI_SETTING,trace_buffer_offload_interval_ms,10,Interval for reading of device data to host (in ms)
XRT_INI_SETTING,trace_file_dump_interval_s,5,Interval for dumping files to host (in s)
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
